"Line 1","Rua"
"Line 2","Número"
"Line 3","Bairro"
"Line 4","Complemento"
"Endereço: Line 1","Rua"
"Endereço: Line 2","Número"
"Endereço: Line 3","Bairro"
"Endereço: Line 4","Complemento"
"Street Address: Line 1","Rua"
"Street Address: Line 2","Número"
"Street Address: Line 3","Bairro"
"Street Address: Line 4","Complemento"
"Pick in Store","Retirar na Loja"
"We could not preselect pickup location based on available information, please select it manually.","Selecione a loja manualmente"
"Please provide postcode or city name to find nearest pickup locations.","Digite o CEP ou o nome da cidade para encontrar as lojas mais próximas."
"Search with postcode or city name...","Digite o cep ou cidade..."
"Check / Money order","Pagamento em dinheiro"
"Payment Method","Método de Pagamento"
"Manage Sliders","Configurar Slider de Produto"
"Slider Type","Tipo de Slider"
"Slider Location","Localizado"
"PRODUCT SLIDER INFORMATION","Informações"
"All Page","Toda a página"
"Category page","Página de categoria"
"Product page","Página de produto"
"Shopping Cart Page","Página de carrinho"
"Top of content","Topo do conteúdo"
"Bottmo of content","Rodapé do conteúdo"
"Top of sidebar","Topo da barra lateral"
"Bottom of sidebar","Rodapé da barra lateral"
"Best Seller Products","Produtos mais vendidos"
"Featured Products","Produtos Apresentáveis"
"On Sale Products","Produtos em promoção"
"Recent Products","Produtos recentes"
"Select By Category","Selecionar por categoria"
"Custom Specific Products","Produtos Específicos Customizáveis"
"Default Store View","Visão de página padrão"
"NOT LOGGED IN","Não logados"
"General","Geral"
"Wholesale","Atacado"
"Retailer","Revendedor"
"Cache Lifetime","Tempo de vida do Cache"
"seconds. 86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 segundos por padrão"
"From Date","De"
"To Date","Até"
